id,observed_on_string,observed_on,time_zone,out_of_range,created_at,updated_at,quality_grade,url,tag_list,description,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
947428,2012-11-22,2012-11-22,Auckland,,2012-11-22 08:39:22 UTC,2019-05-09 04:29:43 UTC,research,http://naturewatch.org.nz/observations/344578,"Travis Wetland, Drosera binata . Odontomyia sp, Forked Sundew","There's been so many species of flies bugs, beetles etc at Travis over the last couple of weeks I thought the Sundews must be making a passable living.
So I lurked up for a look.
This is my favorite shot today.
Forked Sundew (Drosera binata) versus Green Soldier Fly, Odontomyia sp
I saw 3 different species in trouble with these cool little plants, a male Blossom Fly, most probably a sucked dry long legged green fly and my Green Soldier Fly.",0,false,"Christchurch including Banks Peninsula, NZ-CA, NZ",-43.4862444379,172.7008938789,,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
948918,2012-12-29,2012-12-29,Auckland,,2012-12-29 03:30:55 UTC,2019-05-09 04:29:58 UTC,research,http://naturewatch.org.nz/observations/346219,"Travis Wetland, Drosera binata, Forked Sundew","I got told the Sundew were in flower so I had to go and have a look.
It's amazing how much these neat plants have grown in the last couple of months.
Interesting subtle green flowers.",0,false,Travis Wetland,-43.4848315899,172.6975813508,,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
949166,2012-12-30,2012-12-30,Auckland,,2013-01-05 10:59:43 UTC,2019-05-09 04:30:06 UTC,research,http://naturewatch.org.nz/observations/346489,flower,acid sand on raised trackside; withered flowering; with Lepidosperma australe; 10m asl,0,false,"Freshwater River flats, Stewart Island",-46.8671765605,167.9145724919,25,,,false,,,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
949341,2012-12-30,2012-12-30,Auckland,,2013-01-10 04:14:15 UTC,2019-05-09 04:30:12 UTC,research,http://naturewatch.org.nz/observations/346670,"","acid sands on raised trackside, with Cladia aggregata, Pernettya, Blechnum procerum, Ptychomnion, Hypnum",0,false,"Freshwater River flats, Stewart Island",-46.8683721879,167.9189605858,25,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
949368,2012-12-31,2012-12-31,Auckland,,2013-01-10 08:10:19 UTC,2019-05-09 04:30:28 UTC,research,http://naturewatch.org.nz/observations/346697,flower,"summit plateau, 550m asl; cushion bog; flowering; with Carpha, Donatia, Microlaena, Dicranum (?), Celmisia and Oreobolus

",1,false,"Rocky Mountain, Stewart Island, NZ",-46.860881926,167.951151639,25,,,false,,,Drosera stenopetala,Drosera stenopetala,,Plantae,401564
949397,2012-12-31,2012-12-31,Auckland,,2013-01-10 09:36:55 UTC,2019-05-09 04:30:33 UTC,research,http://naturewatch.org.nz/observations/346729,flower,"summit slopes, 460m asl; subalpine dwarf forest; flowering; with Lycopodium ramulosum and Lophocolea ?leucophylla",0,false,"Rocky Mountain, Stewart Island, NZ",-46.860881926,167.951151639,25,,,false,,,Drosera stenopetala,Drosera stenopetala,,Plantae,401564
949972,Mon Jan 28 2013 13:46:58 GMT+1300 (NZDT),2013-01-28,Wellington,,2013-01-28 05:39:38 UTC,2019-05-09 04:30:59 UTC,research,http://naturewatch.org.nz/observations/347346,"","Growing along with <em>Drosera spatulata</em> and, less commonly, <em>Drosera stenopetala</em>, in a boggy area up the Temple Basin Skifield Road.",0,false,Arthur’s Pass National Park,-42.9105,171.5636666667,,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
949991,2013-01-22,2013-01-22,Auckland,,2013-01-29 08:32:30 UTC,2019-05-09 04:31:18 UTC,research,http://naturewatch.org.nz/observations/347365,"Ahuriri, Watsons, Drosera",In bogs within beech forest clearings,0,false,"Watsons Stream, Ahuriri Conservation Park",-44.1936514277,169.6499347687,,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
950829,2013-01-28,2013-01-28,Auckland,,2013-02-07 22:44:12 UTC,2019-05-09 04:31:24 UTC,research,http://naturewatch.org.nz/observations/348251,flower; fruit,"summit 'tundra', 555m asl; flowering; not entirely sure of this (cf D spathulata), but this is greenish, without visible stipules, and has single flower; the leaves are not quite perfect round",0,false,"Rocky Mountain, Stewart Island, NZ",-46.8602363471,167.9511945543,50,,,false,,,Drosera stenopetala,Drosera stenopetala,,Plantae,401564
950892,2013-01-29,2013-01-29,Auckland,,2013-02-08 20:16:38 UTC,2019-05-09 04:40:00 UTC,research,http://naturewatch.org.nz/observations/348515,flower,on trackside on leached sands; c 10m asl; flowering; with Cladina and Empodisma,0,false,"Freshwater River Flats, Stewart Island, NZ",-46.8697725175,167.9194586572,100,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
950901,2013-01-29,2013-01-29,Auckland,,2013-02-08 21:03:08 UTC,2019-01-29 04:35:50 UTC,needs_id,http://naturewatch.org.nz/observations/348524,flower,on trackside in wet ponding areas; < 10m asl; flowering; white spots on 1st photo are flowers,0,false,"Freshwater River Flats, Stewart Island, NZ",-46.8755214289,167.9265832901,250,,,false,,,Utricularia monanthos,Utricularia monanthos,,Plantae,122027
952764,2013-02-18,2013-02-18,Auckland,,2013-02-18 06:59:14 UTC,2019-05-16 23:43:18 UTC,research,http://naturewatch.org.nz/observations/350384,"gibba, Utricularia, water weed","Over winter plant is not seen. In late summer in full flower. First noticed 2 years ago, Now colonies over lake. No control except dragging it out.",0,false,Oparau,-38.0421681553,174.9307966232,42,,open,false,,,humped bladderwort,Utricularia gibba,humped bladderwort,Plantae,79464
952852,Tue Dec 25 2012 10:12:25 GMT+1300 (NZDT),2012-12-25,Wellington,,2013-02-20 00:20:10 UTC,2019-05-09 04:39:45 UTC,research,http://naturewatch.org.nz/observations/350475,"",,0,false,Arthur’s Pass National Park,-42.9071666667,171.5595,,,,false,,,Drosera stenopetala,Drosera stenopetala,,Plantae,401564
952867,Tue Dec 25 2012 10:06:52 GMT+1300 (NZDT),2012-12-25,Wellington,,2013-02-20 07:37:36 UTC,2019-05-09 04:39:38 UTC,research,http://naturewatch.org.nz/observations/350493,"",,0,false,Arthur’s Pass National Park,-42.9073333333,171.5593333333,,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
955617,2012-11-17,2012-11-17,Auckland,,2013-03-17 01:37:18 UTC,2019-05-09 04:54:51 UTC,research,http://naturewatch.org.nz/observations/354268,"",,0,false,"Potts River, Hakatere, Canterbury, New Zealand",-43.5519539715,170.9946442021,2000,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
955735,"January 1, 2012",2012-01-01,Wellington,,2013-03-18 08:45:50 UTC,2019-05-09 04:39:21 UTC,research,http://naturewatch.org.nz/observations/354401,"",,0,false,"Awarua wetland, new zealand",-46.5527220885,168.5211753845,1461,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
955741,"January 1, 2012",2012-01-01,Wellington,,2013-03-18 09:16:37 UTC,2019-05-09 04:39:17 UTC,research,http://naturewatch.org.nz/observations/354408,"",,0,false,"Waituna wetland, new zealand",-46.5531809645,168.6301944589,730,,,false,,,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
957335,2010-12-30,2010-12-30,Auckland,,2013-03-27 08:04:41 UTC,2019-05-09 04:39:13 UTC,research,http://naturewatch.org.nz/observations/355249,"limestone, Mt Owen massif",,0,false,"Mt Owen massif, Kahurangi National Park",-41.5374945319,172.545433018,1500,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
957773,2013-03-24,2013-03-24,Auckland,,2013-03-31 02:01:00 UTC,2019-05-09 04:39:09 UTC,research,http://naturewatch.org.nz/observations/355702,"alpine, Arthurs Pass",,0,false,"Bealey Valley, Arthurs Pass, National Park",-42.91651916,171.555317,,,,false,,,Drosera spatulata,Drosera spatulata,Rosy Sundew,Plantae,122208
958896,2013-04-13,2013-04-13,Auckland,,2013-04-14 21:47:25 UTC,2017-09-22 05:25:44 UTC,needs_id,http://naturewatch.org.nz/observations/356857,"herb, lake, carnivorous, flower",In wet lakeshore gravels,0,false,"Lake Wanaka, Otago",-44.6897388494,169.1040945053,188,,,false,,,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
968526,2012-02-05,2012-02-05,Auckland,,2013-08-02 06:26:28 UTC,2019-05-09 04:39:04 UTC,research,http://naturewatch.org.nz/observations/367048,"",,0,false,Millenium Track Bluff Hill,-46.6166667,168.3333333,1490,,open,false,,manual,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
972316,2010-12-14 12:08:47,2010-12-14,Auckland,,2013-09-24 12:16:03 UTC,2019-05-09 04:39:00 UTC,research,http://naturewatch.org.nz/observations/371018,"","Drosera spatulata. Stockton Plateau, West Coast, South Island. © Murray Dawson",0,false,"Buller, NZ-WC, NZ",-41.6379273822,171.9044208596,2479,,,false,,,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
974651,Tue Oct 22 2013 14:05:23 GMT+1300 (NZDT),2013-10-22,Wellington,,2013-10-23 08:08:43 UTC,2019-05-09 04:38:51 UTC,research,http://naturewatch.org.nz/observations/373535,"",,0,false,"Westland, Westland / Tai Poutini National Park, NZ-WC-WL, NZ-WC, NZ",-43.2277366667,170.150575,,,,false,,,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
975076,2013-10-22,2013-10-22,Auckland,,2013-10-29 09:04:11 UTC,2019-05-09 04:38:45 UTC,research,http://naturewatch.org.nz/observations/373967,"",,0,false,"Okarito, West Coast",-43.2330473292,170.1462078094,1500,,,false,,,Drosera spatulata,Drosera spatulata,Rosy Sundew,Plantae,122208
975455,2013-11-03,2013-11-03,Auckland,,2013-11-03 04:40:56 UTC,2017-09-25 19:45:27 UTC,research,http://naturewatch.org.nz/observations/374360,"",,0,false,Waitakere Ranges,-36.9532163111,174.5589083433,,,,false,,,Drosera auriculata,Drosera auriculata,Tall sundew,Plantae,424565
975979,Sat Oct 26 2013 15:44:13 GMT+1300 (NZDT),2013-10-26,Wellington,,2013-11-07 09:22:49 UTC,2017-09-25 19:45:32 UTC,research,http://naturewatch.org.nz/observations/374888,"Ngamuwahine, pink, flowering, herb, Tuber, Sundew",,0,false,"Kaimai Mamaku Forest Park, Kaimai-Mamaku Forest Park, Bay of Plenty, NZ",-37.7985,175.981,,,,false,,,Drosera auriculata,Drosera auriculata,Tall sundew,Plantae,424565
976068,Sat Oct 26 2013 15:51:29 GMT+1300 (NZDT),2013-10-26,Wellington,,2013-11-08 09:37:34 UTC,2017-09-25 19:45:39 UTC,research,http://naturewatch.org.nz/observations/374978,"Tuber, Ngamuwahine, pnl, herb, Sundew",,0,false,"Kaimai Mamaku Forest Park, Kaimai-Mamaku Forest Park, Bay of Plenty, NZ",-37.7985,175.9808333333,,,,false,,,Drosera auriculata,Drosera auriculata,Tall sundew,Plantae,424565
976079,Sat Oct 26 2013 16:13:13 GMT+1300 (NZDT),2013-10-26,Wellington,,2013-11-08 09:37:42 UTC,2017-09-25 19:45:51 UTC,research,http://naturewatch.org.nz/observations/374989,"Tuber, pink, flowering, Ngamuwahine, pnl, herb, Sundew",,0,false,"Kaimai Mamaku Forest Park, Kaimai-Mamaku Forest Park, Bay of Plenty, NZ",-37.7983333333,175.9806666667,,,,false,,,Drosera auriculata,Drosera auriculata,Tall sundew,Plantae,424565
976373,Mon Oct 28 2013 16:52:57 GMT+1300 (NZDT),2013-10-28,Wellington,,2013-11-12 05:19:47 UTC,2017-09-25 19:46:34 UTC,research,http://naturewatch.org.nz/observations/375282,"Bob's, pink, bud, pnl, herb, Sundew",,0,false,"Kaimai Mamaku Forest Park, Lower Kaimai, Bay of Plenty, NZ",-37.7903643567,175.9597902756,2612,,,false,,,Drosera auriculata,Drosera auriculata,Tall sundew,Plantae,424565
977153,2013-11-20,2013-11-20,Auckland,,2013-11-20 07:04:48 UTC,2018-10-06 08:38:47 UTC,research,http://naturewatch.org.nz/observations/376082,"",,0,false,"Ecclesfield Reserve, Upper Hutt",-41.1545524294,175.0175955892,25,,,false,,,Tall sundew,Drosera auriculata,Tall sundew,Plantae,424565
977239,2009-12-01,2009-12-01,Auckland,,2013-11-21 01:06:22 UTC,2019-05-09 04:38:41 UTC,research,http://naturewatch.org.nz/observations/376170,"",Sundew growing in cushion plant. peat bog.,0,false,"Little Peak, Otago",-45.784204947,169.7984657764,,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
977251,2007-01-23,2007-01-23,Auckland,,2013-11-21 06:11:41 UTC,2019-05-09 04:38:36 UTC,research,http://naturewatch.org.nz/observations/376182,"",Streamside bog with Mountain Bladderwort.,0,false,Lammerlaw Range,-45.7277531029,169.8160171509,,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
977252,2007-01-23,2007-01-23,Auckland,,2013-11-21 06:14:57 UTC,2017-09-25 19:36:54 UTC,needs_id,http://naturewatch.org.nz/observations/376183,"","Unfortunately the digital camera doesn't give a true colour view of the open flowers. Buds can be seen which are closer to the true colour.
Plants growing streamside in bogs.",0,false,Lammerlaw Range,-45.7277531029,169.8160171509,,,,false,,,Utricularia,Utricularia,Bladderworts,Plantae,57861
977541,2013-11-22,2013-11-22,Auckland,,2013-11-23 03:00:50 UTC,2019-02-22 01:56:37 UTC,research,http://naturewatch.org.nz/observations/376483,"",One plant seen growing in peat stained water,0,false,"Taupo, NZ-WK, NZ",-38.8126803994,175.8597928318,,,obscured,true,,,Yellow bladderwort,Utricularia australis,Yellow bladderwort,Plantae,336260
978476,2013-12-03,2013-12-03,Auckland,,2013-12-03 08:44:53 UTC,2019-05-09 04:38:29 UTC,research,http://naturewatch.org.nz/observations/377502,"Travis Wetland, Drosera binata, Forked Sundew","The Sundew were glowing in the sun this morning.
I sat and watched a patch for a little while and saw 3 species of fly and another couple of small ""bugs"" get caught .... they all escaped.",0,false,Travis Wetland,-43.4847109319,172.6976591349,,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
978549,2013-12-04,2013-12-04,Auckland,,2013-12-04 09:26:38 UTC,2019-05-09 04:38:22 UTC,research,http://naturewatch.org.nz/observations/377566,"Drosera binata, Forked Sundew, Travis Wetland","This plant was growing in among the Sundews.
It looks like it is going to become something interesting.
No apparent leaves, but I couldn't move the Sundews to have a good look at the base.",0,false,Travis Wetland,-43.4848052739,172.6975491643,,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
978813,2013-12-07,2013-12-07,Auckland,,2013-12-08 01:42:37 UTC,2017-09-25 19:47:15 UTC,research,http://naturewatch.org.nz/observations/377888,"",,0,false,"Norbett's creek, Kaitoke Regional Park",-41.0669115523,175.2049773932,74,,,false,,manual,Drosera auriculata,Drosera auriculata,Tall sundew,Plantae,424565
979328,2013-09-26,2013-09-26,Auckland,,2013-12-13 04:36:07 UTC,2017-09-25 19:47:22 UTC,research,http://naturewatch.org.nz/observations/378417,"",,0,false,"Pukakura Park, New Plymouth",-39.0648130917,174.0794044733,,,,false,,,Drosera auriculata,Drosera auriculata,Tall sundew,Plantae,424565
980967,2013-12-25,2013-12-25,Auckland,,2013-12-28 22:51:22 UTC,2019-05-09 04:38:13 UTC,research,http://naturewatch.org.nz/observations/380093,"",,0,false,"Mount Owen area, near Sentinel Hill.",-41.5383297225,172.5515699387,507,,,false,,manual,Drosera arcturi,Drosera arcturi,,Plantae,54678
981227,2013-12-28,2013-12-28,Auckland,,2013-12-30 03:01:48 UTC,2019-05-09 04:38:08 UTC,research,http://naturewatch.org.nz/observations/380361,"",,0,false,"Denniston Plateau, West Coast",-41.775012,171.775802,25,,,false,,manual,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
981242,2013-12-27,2013-12-27,Auckland,,2013-12-30 03:38:58 UTC,2017-09-22 05:25:30 UTC,research,http://naturewatch.org.nz/observations/380376,"",Tiny purple flower in alpine bog.,0,false,"Denniston Plateau, West Coast",-41.775799,171.767723,50,,,false,,,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
981324,2013-12-26,2013-12-26,Auckland,,2013-12-30 09:10:37 UTC,2017-09-25 19:48:10 UTC,research,http://naturewatch.org.nz/observations/380458,"",,0,false,"Mt Rochfort, West Coast",-41.765298,171.736614,50,,,false,,google,Wahu (Drosera stenopetala),Drosera stenopetala,,Plantae,401564
981445,2013-12-29,2013-12-29,Auckland,,2013-12-31 06:24:28 UTC,2019-05-09 04:37:50 UTC,research,http://naturewatch.org.nz/observations/380599,"alpine, bog, insectivorous, herb",Abundant in alpine bogs,0,false,"Maitland Stream, Canterbury",-44.2500561856,169.7185134888,208,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
982495,2013-12-29,2013-12-29,Auckland,,2014-01-08 22:45:30 UTC,2019-05-09 04:37:46 UTC,research,http://naturewatch.org.nz/observations/381687,"flower, alpine, bog, carnivorous, herb",In alpine bog,0,false,"Snowy Gorge Creek, Canterbury",-44.2613060648,169.7109603882,350,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
982542,"30 December, 2013",2013-12-30,Auckland,,2014-01-09 03:24:24 UTC,2017-09-22 05:25:23 UTC,research,http://naturewatch.org.nz/observations/381737,"flower, wetland, bog, carnivorous, herb",In hillside bog,0,false,"Snowy Gorge Creek, Canterbury",-44.3310932314,169.6537971497,513,,,false,,,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
983023,2014-01-07,2014-01-07,Auckland,,2014-01-11 07:29:34 UTC,2019-05-09 04:37:39 UTC,research,http://naturewatch.org.nz/observations/382223,"roadside, shrubland, mafic soils, carnivorous, herb",Is this D. stenopetala or D. spatulata? On mafic soils amongst shrubland.,0,false,"Martyr Saddle, South Westland",-44.1233313454,168.571472168,381,,,false,,,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
984443,2005-03-28,2005-03-28,Auckland,,2014-01-24 18:09:46 UTC,2019-05-09 04:37:32 UTC,research,http://naturewatch.org.nz/observations/383628,"",,0,false,"Coromandel State Forest Park, NZ-WK-TC, NZ-WK, NZ",-37.1081501024,175.7371222973,,,,false,,,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
984444,2005-03-28,2005-03-28,Auckland,,2014-01-24 18:12:09 UTC,2019-05-09 04:37:24 UTC,research,http://naturewatch.org.nz/observations/383629,"",,1,false,"Coromandel State Forest Park, NZ-WK-TC, NZ-WK, NZ",-37.1079190839,175.7371973991,,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
985267,2014-01-18,2014-01-18,Auckland,,2014-02-02 10:45:26 UTC,2019-05-09 04:37:18 UTC,research,http://naturewatch.org.nz/observations/384865,"",,0,false,"Waiopehu - Gable End Ridge, Northern Tararuas",-40.7299840782,175.3555727005,746,,,false,,manual,Drosera stenopetala,Drosera stenopetala,,Plantae,401564
985373,2014-01-15,2014-01-15,Auckland,,2014-02-03 10:20:55 UTC,2017-09-22 05:25:17 UTC,research,http://naturewatch.org.nz/observations/384972,"",Utricularia dichotoma; plants in flower growing in damp ground by lake edge,0,false,"South Mavora Lake, Northern Southland",-45.2966381949,168.1788785989,,,,false,,manual,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
985385,2014-02-01,2014-02-01,Auckland,,2014-02-03 20:56:17 UTC,2019-05-09 04:37:13 UTC,research,http://naturewatch.org.nz/observations/384984,"",Several large colonies observed on side of the track,0,false,Heaphy Track,-40.8737985242,172.2632389079,,,,false,,,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
985386,2014-02-01,2014-02-01,Auckland,,2014-02-03 21:05:41 UTC,2019-05-09 04:37:09 UTC,research,http://naturewatch.org.nz/observations/384985,"",,0,false,Heaphy Track,-40.87379,172.26323,500,,,false,,,Drosera stenopetala,Drosera stenopetala,,Plantae,401564
987485,2014-02-14,2014-02-14,Auckland,,2014-02-23 22:31:30 UTC,2019-05-09 04:37:04 UTC,research,http://naturewatch.org.nz/observations/389827,"",,0,false,"Deep Creek track, Charleston, West Coast",-41.9311374177,171.4327830076,500,,,false,,,Drosera spatulata,Drosera spatulata,Rosy Sundew,Plantae,122208
992366,2014-04-02,2014-04-02,Auckland,,2014-04-02 02:32:27 UTC,2019-05-16 23:44:40 UTC,research,http://naturewatch.org.nz/observations/395169,"","Growing as a weed in amongst cultivated aquatic plants. Flower 12mm top to bottom.
Pic 4 close up of bladders.",0,false,Te Aroha NI,-37.5283852358,175.7119363546,,,open,false,,,humped bladderwort,Utricularia gibba,humped bladderwort,Plantae,79464
1125793,2014-11-03 11:07:01,2014-11-03,Auckland,,2014-12-11 03:05:00 UTC,2019-05-09 04:34:58 UTC,research,http://naturewatch.org.nz/observations/1125793,"","",0,false,"Dobson Nature Walk, Arthur's Pass, Arthur's Pass National Park, Canterbury, New Zealand ",-42.907924,171.558696,,,,false,,"",Drosera arcturi,Drosera arcturi,,Plantae,54678
1159960,2014-12-28,2014-12-28,Auckland,,2015-01-04 08:22:29 UTC,2017-09-22 05:25:10 UTC,research,http://naturewatch.org.nz/observations/1159960,"",Growing in alpine bog.,0,false,"Bealey spur, Arthur's Pass",-43.030782,171.624477,,,,false,,,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
1176501,2014-12-31,2014-12-31,Auckland,,2015-01-14 07:49:20 UTC,2017-09-22 05:25:02 UTC,research,http://naturewatch.org.nz/observations/1176501,"herb, flower purple, carnivorous, roadside, ditch",In roadside drainage ditch,0,false,"Quailburn, Omarama",-44.362334,169.810833,189,,,false,,,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
1201847,2015-01-18,2015-01-18,Wellington,,2015-01-30 10:24:33 UTC,2017-09-22 05:24:54 UTC,research,http://www.inaturalist.org/observations/1201847,"","Bit blurry but you can see the leaves in the photo with the single flower.  Growing at the edge of the track in moist water table.
Not sure of the ID.  Needs more photos.",0,false,Okarito Trig track,-43.225333,170.159533,96,,,false,,,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
1219310,2015-01-31 15:44,2015-01-31,Wellington,,2015-02-08 06:57:38 UTC,2017-09-22 05:24:44 UTC,research,http://www.inaturalist.org/observations/1219310,"",Found in a small damp area of shrubland near Okarito wharf,0,false,Okarito,-43.2219,170.167688,6,,,false,,,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
